SendRate(Mb/s),RTT(ms),CWnd,PktSndPeriod(us),RecvACK,RecvNAK
20.393,725.115,114154,391.351,0,0
0.791213,725.115,114154,560,0,6
7.78894,258.271,31053,524.737,22,0
24.3001,73.458,6197,441.362,61,0
28.5841,216.235,14733,316.885,61,0
60.726,640.189,27766,152.539,50,0
58.3352,640.189,27766,278,0,55
26.523,640.189,27766,278,0,21
34.7326,765.344,55484,264.053,27,1
45.5267,701.981,39917,248.934,36,0
40.5189,701.981,39917,248.934,0,0
13.1928,701.981,39917,317,0,41
19.4217,520.681,39918,307.26,14,0
38.9798,463.709,40199,287.805,30,0
40.5998,463.709,40199,287.805,0,0
27.9582,463.709,40199,521,0,24
23.0727,755.968,24371,471.835,38,12
25.1058,787.599,28064,454.672,14,0
25.4726,787.599,28064,454.672,0,0
26.3283,787.599,28064,454.672,0,0
21.7134,787.599,28064,576,0,64
6.06752,787.599,28064,729,0,26
2.33763,793.318,49574,814.314,4,2
15.9909,199.652,14528,532.474,24,0
32.382,226.983,12355,264.688,28,0
43.7093,226.983,12355,336,0,7
35.8651,226.983,12355,378,0,15
19.1304,226.983,12355,608,0,77
18.9299,226.983,12355,770,0,19
15,281.234,31486,770,1,9
15.0443,281.234,31486,770,0,0
15.0176,281.234,31486,770,0,0
15.3243,281.234,31486,770,0,0
15.95,281.234,31486,770,0,0
6.54995,281.234,31486,770,0,0
15.7311,72.149,3839,637.47,48,0
32.5821,286.424,12529,224.785,75,0
58.776,581.725,38798,232,45,41
45.5873,581.725,38798,331,0,49
33.967,581.725,38798,600,0,45
13.2288,581.725,38798,675,0,45
7.50025,145.983,8815,612.94,31,0
36.0665,265.531,23589,201.147,68,0
80.6193,560.436,27239,128.675,52,0
38.2118,560.436,27239,164,0,35
18.9972,759.204,50914,162.402,14,0
73.1592,641.853,48261,156.309,35,0
45.1046,641.853,48261,283,0,14
42.031,784.134,66976,272.215,25,2
32.1677,784.134,66976,272.215,0,0
3.12705,784.134,66976,494,0,14
15.0304,579.417,24312,466.354,14,0
25.2306,492.656,30839,455.728,6,0
25.3318,506.3,29099,453.66,2,0
26.8289,506.3,29099,575,0,4
20.9004,506.3,29099,575,0,60
16.3944,506.3,29099,1038,0,50
7.38354,506.3,29099,1872,0,44
0.453708,506.3,29099,1872,0,8
5.41505,198.647,24279,1483.27,20,0
8.93599,60.415,6820,1198.77,22,0
85.7929,196.307,11204,89.6523,47,0
46.1967,275.428,15033,124,8,24
40.1787,424.491,21005,123.693,3,0
62.2164,549.686,21515,123.084,4,0
4.03775,549.686,21515,157,0,4
0,549.686,21515,157,0,0
0,549.686,21515,157,0,0
45.9375,628.093,27997,154.573,18,0
62.5672,627.214,61374,152.685,9,0
57.9575,720.258,42234,190.308,16,26
56.3649,720.258,42234,190.308,0,0
53.1963,739.901,58988,240.256,5,10
48.2573,739.901,58988,240.256,0,0
42.1199,739.901,58988,305,0,3
32.117,739.901,58988,305,0,0
2.4522,739.901,58988,436,0,8
11.1743,733.725,64258,430.37,4,0
27.1204,681.462,74579,424.885,3,0
27.3,681.462,74579,424.885,0,0
27.2794,681.462,74579,424.885,0,0
23.6055,681.462,74579,538,0,14
21.7765,648.863,48149,529.454,4,9
22.2224,665.19,33957,515.8,5,0
22.4108,665.19,33957,515.8,0,0
22.8948,665.19,33957,515.8,0,0
20.0352,681.178,69215,649.751,2,26
17.9203,698.417,62954,645.556,3,0
17.8853,698.417,62954,645.556,0,0
18.0352,698.417,62954,645.556,0,0
18.9023,698.417,62954,645.556,0,0
6.17862,698.417,62954,645.556,0,0
5.84326,584.301,76476,599.142,16,0
27.2692,628.336,39230,267.447,75,0
35.7702,682.663,89763,420,4,90
27.3358,682.663,89763,533,0,39
20.8274,682.663,89763,675,0,54
15.5237,682.663,89763,962,0,43
10.8334,682.663,89763,1372,0,40
9.01356,682.663,89763,1372,0,1
9.22903,110.981,4994,1076.58,34,0
24.6333,114.691,6638,253.237,73,0
69.6223,551.117,29475,127.407,76,0
59.2949,617.189,19941,171,9,28
26.1142,617.189,19941,171,0,22
13.2772,713.035,50472,169.55,12,0
