

Method,UDT
BK TCP Number,0
MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),Recv Loss,RTT(ms),CWnd,FlowWindow,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s)
0,27.6472,13,41.467,16,8192,1,0,0,0.011648
0,30.2883,1,38.005,16,8192,1,0,0,0.011648
0,28.5926,1,31.356,16,8192,1,0,0,0.011648
0,30.303,1,28.574,16,8192,1,0,0,0.011648
0,29.2825,0,26.268,16,8192,1,0,0,0.011648
0,27.0054,0,32.294,16,8192,1,0,0,0.011648
0,29.3339,0,30.169,16,8192,1,0,0,0.011648
0,31.3375,1,25.928,16,8192,1,0,0,0.011648
0,29.5893,14,31.406,16,8192,1,0,0,0.011648
0,30.5791,0,28.901,16,8192,1,0,0,0.011648
0,27.8856,1,35.804,16,8192,1,0,0,0.011648
0,30.3659,0,27.845,16,8192,1,0,0,0.011648
0,32.8166,2,27.489,16,8192,1,0,0,0.011648
0,30.5919,0,32.168,16,8192,1,0,0,0.011648
0,31.3337,3,41.836,16,8192,1,0,0,0.011648
0,27.9689,0,34.941,16,8192,1,0,0,0.011648
0,30.0974,0,26.956,16,8192,1,0,0,0.011648
0,30.8389,2,24.831,16,8192,1,0,0,0.011648
0,30.1036,2,33.63,16,8192,1,0,0,0.011648
0,29.7934,0,29.457,16,8192,1,0,0,0.011648
0,30.5189,0,33.234,16,8192,1,0,0,0.011648
0,31.1191,2,30.053,16,8192,1,0,0,0.011648
0,32.1455,1,34.349,16,8192,1,0,0,0.011648
0,27.0117,1,30.869,16,8192,1,0,0,0.011648
0,28.3258,0,30.94,16,8192,1,0,0,0.011648
0,29.8775,1,33.703,16,8192,1,0,0,0.011648
0,31.325,1,29.762,16,8192,1,0,0,0.011648
0,29.7271,0,32.861,16,8192,1,0,0,0.011648
0,24.0742,1,45.26,16,8192,1,0,0,0.011648
0,24.4931,3,37.389,16,8192,1,0,0,0.011648
0,28.4364,1,26.672,16,8192,1,0,0,0.011648
0,29.0451,1,38.921,16,8192,1,0,0,0.011648
0,28.7449,2,27.266,16,8192,1,0,0,0.011648
0,29.3304,4,27.748,16,8192,1,0,0,0.011648
0,27.7141,4,33.403,16,8192,1,0,0,0.011648
0,30.1079,1,34.431,16,8192,1,0,0,0.011648
0,27.7503,2,31.455,16,8192,1,0,0,0.011648
0,28.4105,0,36.203,16,8192,1,0,0,0.011648
0.0815111,9.89778,0,26.633,19,8184,1,2,0,1.456
0,0,0,26.633,19,8184,1,0,0,1.456
0,0,0,26.633,19,8184,1,0,0,1.456
0,0,0,26.633,19,8184,1,0,0,1.456
0,0,0,26.633,19,8184,1,0,0,1.456


