,,,,,
,,,,,
Method,CTCP,,,,
MSS,1500,,,,
SendRate(Mb/s),RTT(ms),CWnd,PktSndPeriod(us),RecvACK,RecvNAK
20.082,775.445,1914,0,1237,0
13.7288,219.29,1914,0,262,4
10.4343,141.263,1914,0,881,3
16.488,125.322,1915,0,569,0
17.1717,638.674,1916,0,1502,0
17.5496,526.419,1916,0,1557,0
15.2148,826.782,1917,0,1334,1
15.8893,147.508,1917,0,479,0
14.5387,786.061,1918,0,1287,1
15.5858,701.15,1919,0,1385,0
5.26299,801.622,1919,0,152,30
0.0225792,801.622,1919,0,0,1
11.3175,423.34,97,0,95,0
15.0999,375.359,959,0,911,0
10.7842,443.647,960,0,956,0
9.33506,586.057,960,0,830,0
12.4656,364.667,962,0,1105,0
12.0436,378.526,963,0,1070,0
10.459,413.993,964,0,928,0
13.2978,380.172,965,0,1178,0
17.2876,369.885,966,0,1543,0
11.9746,470.515,968,0,1062,0
15.3812,402.431,969,0,1363,0
9.66068,499.89,970,0,858,0
15.1492,441.757,971,0,1345,0
10.5622,128.251,972,0,455,2
9.03156,534.842,973,0,802,0
14.2911,455.924,974,0,1318,0
15.8732,334.152,975,0,1360,0
13.4775,376.266,976,0,1196,0
14.3975,430.398,978,0,1270,0
16.1718,348.707,979,0,1436,0
15.4521,387.978,981,0,1370,0
12.2319,489.364,982,0,1086,0
9.86458,634.098,983,0,881,0
14.4724,364.384,984,0,1278,1
15.7041,354.627,985,0,1393,0
11.5589,553.35,986,0,1026,0
6.96092,649.354,987,0,616,0
16.9567,378.324,989,0,1503,0
12.4301,355.731,990,0,1101,0
11.7006,645.956,991,0,1038,0
10.2929,624.518,992,0,914,0
10.5831,328.385,993,0,939,0
13.2132,431.328,994,0,1171,0
16.787,375.163,995,0,1491,0
13.9699,323.378,997,0,1237,0
8.87631,570.269,997,0,791,0
15.1292,434.864,999,0,1344,0
15.6163,380.251,1000,0,1387,0
13.7541,392.582,1001,0,1220,0
16.4718,234.726,1003,0,1460,0
15.7389,466.047,1004,0,1397,0
13.9097,338.333,1005,0,733,1
11.66,527.276,1006,0,1036,0
8.80902,745.929,1007,0,785,0
7.52359,760.489,1007,0,669,0
7.43461,186.982,1007,0,157,12
5.07931,745.942,1008,0,219,3
2.66813,528.295,1008,0,226,0
4.97632,120.371,36,0,34,0
11.3667,329.625,504,0,776,0
7.33356,302.289,505,0,652,0
12.3333,214.133,508,0,1096,0
7.86905,256.385,509,0,697,0
11.667,310.022,511,0,1053,0
11.7675,174.199,513,0,1028,0
10.2198,165.684,515,0,908,0
6.10625,748.425,516,0,552,0
10.2735,315.281,518,0,915,0
8.98132,504.945,519,0,804,0
2.8059,180.492,520,0,511,0
0,180.492,520,0,0,0
0,180.492,520,0,0,0
0,180.492,520,0,0,0
0,180.492,520,0,0,0
0,180.492,520,0,0,0


Method,CTCP
MSS,100
SendRate(Mb/s),RTT(ms),CWnd,PktSndPeriod(us),RecvACK,RecvNAK
1.17188,98.529,881,0,879,0
2.7252,281.602,2545,0,1664,1
3.76534,141.137,4095,0,1550,3
7.51068,131.321,6287,0,2192,8
4.97045,88.691,7947,0,1660,0
0.820296,88.691,8389,0,442,0
2.15847,1364.16,36,0,34,0
2.47489,153.985,1428,0,1392,1
2.65865,135.467,2510,0,1082,10
1.14138,115.545,33,0,31,0
2.4806,121.651,1255,0,1901,2
1.99856,324.497,1256,0,1608,0
0.591852,406.763,1257,0,664,0
1.47287,333.271,1258,0,1657,1
1.80589,321.482,1260,0,2065,1
2.75047,206.818,1262,0,2411,1
1.81903,416.772,1263,0,2035,0
1.39683,247.173,1265,0,1566,0
0.411505,481.387,1265,0,463,0
1.70265,253.33,1266,0,1917,0
2.55323,143.588,1268,0,2110,4
1.90767,304.151,1269,0,1612,0
2.36583,112.359,1271,0,2013,1
1.77393,71.183,1272,0,715,2
0.424903,297.174,1272,0,479,0
0.857948,1148.1,1273,0,974,1
0.66491,725.838,1273,0,751,0
0.604089,834.385,1274,0,680,0
1.03212,705.431,1275,0,1165,0
0.801188,416.626,1275,0,898,0
2.31781,135.198,1276,0,1340,4
1.56683,335.305,1278,0,1752,0
0.770706,395.129,1279,0,864,0
0.680336,927.593,1279,0,771,0
1.35978,288.895,1280,0,1525,1
0.919248,540.37,1281,0,1033,0
1.42377,103.721,1282,0,963,1
2.36335,240.242,1283,0,1369,4
1.20814,420.525,1284,0,1356,0
1.31908,433.975,1285,0,1465,1
2.93693,106.03,1287,0,2017,3
1.92317,116.179,1287,0,864,3
1.14934,623.803,1288,0,1287,0
1.4791,214.409,1290,0,1661,0
0.826728,678.208,1290,0,931,0
1.11894,472.154,1291,0,1261,0
1.2464,444.561,1292,0,1399,0
1.62356,248.873,1294,0,1819,0
2.37124,125.635,1295,0,1361,6
1.4749,409.917,1296,0,1652,0
1.8842,100.872,1297,0,1461,1
1.22378,100.932,1298,0,733,1
0.910402,673.409,1299,0,1028,0
1.01051,510.331,1300,0,1136,0
0.745727,696.464,1300,0,843,0
1.83162,82.725,1301,0,1544,2
3.16483,291.333,1303,0,1946,6
2.88358,63.41,1304,0,1429,5
1.33346,457.654,1305,0,1493,0
1.22671,66.062,1306,0,723,2
0.510279,502.509,1306,0,575,0
0.425834,970.432,1306,0,484,0
1.19081,334.769,1307,0,1343,0
0.77255,758.241,1308,0,868,0
1.26618,477.163,1309,0,1426,0
1.28861,495.415,1310,0,1446,0
1.32149,433.57,1311,0,1481,0
1.16032,429.109,1312,0,1302,0
1.10153,475.038,1313,0,1237,0
0.900786,818.465,1314,0,1012,0
1.11353,706.865,1315,0,1253,0
0.803667,741.687,1316,0,905,0
2.06786,107.44,1317,0,996,3
0.836514,669.217,1317,0,945,0
1.16503,529.12,1318,0,1313,0
2.14482,140.354,1319,0,1097,3
1.54049,374.523,1320,0,1724,0
1.05793,534.104,1321,0,1161,2
2.97863,73.791,1322,0,1389,2
1.19428,363.579,1323,0,1337,0
0.809701,694.315,1324,0,911,0
0.424569,746.176,1324,0,477,0
1.18104,554.146,1325,0,1334,0
1.42021,473.738,1327,0,1599,0
1.15476,550.711,1328,0,1296,0
1.35629,417.575,1329,0,1525,0
1.47668,480.054,1330,0,1661,0
0.811388,440.405,1331,0,913,0
1.26735,71.491,1331,0,758,2
0.916046,724.174,1332,0,1036,0
1.32557,518.501,1333,0,1490,0
1.41536,448.224,1334,0,1587,0
0.978127,557.203,1335,0,1099,0
1.06229,517.765,1336,0,1197,0
0.996729,658.384,1337,0,1138,0
0.868509,471.513,1338,0,964,0
0.798422,783.933,1338,0,902,0
0.595983,758.201,1339,0,673,0
0.682302,1004.75,1339,0,775,0
0.842055,857.731,1340,0,950,0
1.43617,396.06,1341,0,1617,0
1.44748,445.213,1342,0,1623,0
1.25776,364.303,1344,0,1409,0
1.26805,567.967,1345,0,1431,0
1.24022,446.256,1346,0,1388,0
0.648798,611.299,1346,0,731,0
0.620099,867.739,1347,0,700,0
0.853819,977.981,1347,0,967,0
0.855346,536.226,1348,0,961,0
1.17661,555.735,1349,0,1325,0
1.30331,467.356,1350,0,1462,0
0.964657,607.978,1351,0,1081,0
1.25227,448.445,1352,0,1405,1
1.01074,520.931,1353,0,1138,3
0.914336,718.037,1354,0,1033,0
0.735623,698.796,1354,0,830,0
0.806465,824.099,1355,0,916,0
1.46656,403.873,1356,0,1647,0
1.72905,358.793,1357,0,1259,1
1.54545,354.916,1358,0,1735,0
2.26715,106.252,1360,0,1859,1
2.30304,67.541,1361,0,1896,3
1.24656,595.715,1362,0,1302,6
1.23942,170.721,1363,0,804,0
0.699501,846.324,1363,0,790,0
0.857666,706.537,1364,0,968,0
0.827586,916.822,1365,0,936,0
1.37547,400.136,1366,0,1545,0
1.29547,396.634,1367,0,1453,0
2.5267,194.977,1368,0,1450,4
1.76684,334.781,1369,0,1976,0
1.29516,90.084,1370,0,778,2
1.09865,111.896,1370,0,544,2
1.28585,95.46,1371,0,754,1
0.518888,247.07,1371,0,583,0
1.00909,971.99,1372,0,1142,0
1.50632,341.907,1373,0,1691,0
1.69923,386.534,1375,0,1908,1
2.97404,210.057,1376,0,1256,4
2.43395,325.965,1377,0,2066,0
1.42364,532.626,1378,0,1095,1
0.712619,72.102,1378,0,604,0
0.734472,1149.42,1379,0,827,0
