SendRate(Mb/s),RTT(ms),CWnd,PktSndPeriod(us),RecvACK,RecvNAK
70.8867,732.661,83333,0,22,6
43.2893,732.661,83333,0,0,10
3.91258,732.661,83333,0,0,0
98.5267,739.615,83333,0,10,0
104.651,695.083,83333,0,38,4
42.6653,694.867,83333,0,11,14
99.8365,756.277,83333,0,23,0
11.0881,752.053,83333,0,34,5
25.4262,742.487,83333,0,6,3
92.5872,737.375,83333,0,8,0
88.9352,678.12,83333,0,50,1
19.6986,678.12,83333,0,0,12
99.9436,762.355,83333,0,20,0
11.6557,764.946,83333,0,4,2
59.9253,733.611,83333,0,9,0
41.6516,720.249,83333,0,36,1
97.3976,633.404,83333,0,18,0
9.63098,624.843,83333,0,36,5
12.9136,642.723,83333,0,1,9
95.1349,741.427,83333,0,51,0
8.73801,741.427,83333,0,0,8
85.8962,770.173,83333,0,33,0
26.425,753.577,83333,0,14,5
42.5267,784.194,83333,0,12,0
62.7183,750.641,83333,0,47,0
27.769,750.641,83333,0,0,9
103.844,744.986,83333,0,33,0
2.80603,744.986,83333,0,0,1
103.058,674.872,83333,0,39,0
73.5685,673.419,83333,0,17,26
64.222,738.866,83333,0,7,2
41.6823,780.791,83333,0,35,2
70.936,677.261,83333,0,12,0
47.885,651.197,83333,0,47,9
100.747,674.775,83333,0,21,0
12.682,676.281,83333,0,35,5
37.9522,713.886,83333,0,5,4
72.6977,753.459,83333,0,55,0
8.45337,753.459,83333,0,0,15
104.092,812.781,83333,0,39,0
9.66434,813.089,83333,0,22,2
102.176,686.216,83333,0,40,0
7.0053,685.661,83333,0,18,2
103.194,685.667,83333,0,34,0
5.65531,685.667,83333,0,0,1
99.3233,732.625,83333,0,19,0
97.4214,734.081,83333,0,13,7
100.578,681.898,83333,0,27,5
56.0325,672.564,83333,0,28,22
88.4167,742.445,83333,0,16,0
21.6438,752.225,83333,0,34,4
55.6115,716.525,83333,0,8,1
58.178,697.848,83333,0,55,3
1.57734,697.848,83333,0,0,6
101.857,775.503,83333,0,48,0
5.44567,775.586,83333,0,8,5
103.626,766.821,83333,0,15,0
8.48341,766.63,83333,0,12,11
68.8418,791.423,83333,0,13,0
40.8805,796.714,83333,0,45,3
35.448,740.492,83333,0,6,1
73.5631,660.922,83333,0,55,0
7.19003,660.922,83333,0,0,19
100.135,786.462,83333,0,38,0
4.70171,787.015,83333,0,9,3
104.599,598.544,83333,0,44,0
6.42657,598.222,83333,0,7,7
46.704,655.852,83333,0,3,0
91.1076,690.885,83333,0,7,0
98.3382,618.526,83333,0,35,18
43.8941,617.914,83333,0,17,35
97.104,756.695,83333,0,13,0
13.2645,786.109,83333,0,35,9
1.2784,786.109,83333,0,0,6
109.004,771.906,83333,0,55,0
5.78447,771.906,83333,0,0,8
106.684,722.678,83333,0,44,0
13.133,711.334,83333,0,16,16
57.1558,749.022,83333,0,7,0
49.4164,773.132,83333,0,34,1
47.57,759.513,83333,0,5,1
58.8045,745.203,83333,0,46,2
67.6449,688.826,83333,0,9,0
54.2486,632.505,83333,0,47,4
2.95702,632.505,83333,0,0,11
104.916,737.984,83333,0,28,0
6.27842,737.984,83333,0,0,6
98.7405,757.206,83333,0,22,0
33.1047,757.206,83333,0,0,16
108.249,761.463,83333,0,8,0
31.1804,761.463,83333,0,0,24
103.943,748.629,83333,0,29,0
49.4016,744.587,83333,0,31,41
30.8892,752.289,83333,0,3,4
74.9017,767.674,83333,0,31,0
4.12335,767.674,83333,0,0,4
107.263,747.748,83333,0,54,0
7.08164,749.251,83333,0,7,2
102.87,661.998,83333,0,22,0
107.098,677.345,83333,0,50,8
21.1033,677.358,83333,0,9,17
102.291,740.178,83333,0,32,0
14.3818,741.039,83333,0,26,16
43.3089,764.137,83333,0,8,2
60.2569,776.035,83333,0,31,0
31.4511,736.594,83333,0,7,1
69.4369,730.617,83333,0,2,0
107.059,689.649,83333,0,37,1
35.2412,689.649,83333,0,0,12
107.61,729.62,83333,0,45,0
11.9083,729.661,83333,0,4,9
96.7638,768.548,83333,0,11,0
73.3233,776.181,83333,0,6,0
45.5173,776.958,83333,0,1,5
62.4412,760.184,83333,0,7,0
61.2018,752.137,83333,0,14,3
1.9323,752.137,83333,0,0,6
105.654,777.272,83333,0,37,0
9.67764,777.327,83333,0,6,19
76.2061,779.127,83333,0,9,0
34.9028,749.665,83333,0,33,2
