Method,UDT,,,,
MSS,1500,,,,
SendRate(Mb/s),RTT(ms),CWnd,PktSndPeriod(us),RecvACK,RecvNAK
38.78,538.828,116354,53.2378,39,0
27.9647,513.865,96429,51,20,6
40.3298,630.273,102254,45.0289,21,0
41.5784,549.697,99107,49,42,17
0,549.697,99107,49,0,0
67.5712,540.337,225871,42.6107,29,0
44.1626,730.364,151372,51.979,19,38
29.7456,749.081,219041,70,34,25
1.69351,749.081,219041,70,0,8
58.9587,687.702,107697,61.6303,24,0
24.6005,652.662,127170,76,8,22
20.0404,650.715,199411,67.7601,14,0
37.2922,510.56,164085,61.8891,13,0
55.0087,579.949,115913,99,38,28
43.2466,744.63,237099,96.8897,24,99
21.2035,750.973,215506,121,17,47
8.82641,709.59,133309,105.658,9,0
58.0922,470.636,98169,33.042,64,0
41.6605,692.293,177063,52,16,24
22.2103,712.389,135049,59,11,17
43.0038,453.165,102860,58.1085,22,0
34.8947,465.588,105618,75,1,10
4.8187,465.588,105618,75,0,21
52.986,409.972,108574,63.8842,33,0
26.1361,433.286,100711,80,1,18
22.7101,516.64,108960,110,5,13
4.24581,516.64,108960,110,0,8
36.2383,325.495,59811,98.9028,33,0
31.1788,531.459,65718,124,13,18
34.0142,464.9,96223,215.308,33,50
21.5207,641.805,105263,269.568,6,27
1.44448,641.805,105263,342,0,18
0,641.805,105263,342,0,0
0,641.805,105263,342,0,0
57.6481,285.265,71522,31.5019,25,0
31.8939,357.892,71640,29,18,11
20.5295,681.326,208536,27.41,15,8
6.7797,681.326,208536,35,0,5
56.8067,649.712,121998,32.7744,36,0
17.9287,696.511,144356,60.0476,17,7
59.3633,607.533,244393,66,64,16
26.0611,730.4,189337,61.1564,11,24
0.0112904,730.4,189337,69,0,2
62.3151,379.335,39242,62.45,52,0
25.0665,531.444,99853,110,31,17
0.101439,531.444,99853,110,0,6
54.4944,452.26,87244,86.2743,22,0
45.3254,488.949,62936,100.343,32,118
10.8773,552.634,62986,144,2,102
0.0112859,552.634,62986,144,0,1
0,552.634,62986,144,0,0
27.7347,658.784,93025,128.792,20,0
28.7137,665.339,128848,61.864,20,0
9.6826,665.339,128848,79,0,14
59.0165,703.811,220568,41.2229,35,0
9.33981,703.811,220568,53,0,7
38.7439,651.563,137015,51.8456,16,0
32.9663,635.89,130252,75.7695,7,16
48.0627,533.147,136519,78,39,19
20.3843,589.046,150656,77.8783,2,57
0.750566,589.046,150656,77.8783,0,1
32.6287,511.258,158548,76.9198,14,0
44.5743,460.005,168789,85,27,56
29.037,532.1,174109,83.5789,2,25
44.2314,726.553,171694,76.6592,13,0
11.319,726.553,171694,98,0,15
0,726.553,171694,98,0,0
69.1422,415.703,53940,56.8048,52,0
23.7329,429.842,51660,81,1,83
33.1346,734.844,74527,97,34,13
15.2698,734.844,74527,97,0,34
9.54011,750.832,165824,95.7003,8,0
37.5632,416.484,123804,97,37,1
41.6721,412.259,88333,166,7,46
13.0626,412.259,88333,166,0,23
38.1859,522.472,99922,139.975,19,0
39.6669,617.724,71902,182.116,23,58
21.3914,657.178,88714,330,2,130
1.63717,657.178,88714,419,0,26
0,657.178,88714,419,0,0
2.60856,685.912,113948,405.411,5,0
15.1112,86.051,13240,332.598,34,0
29.611,114.04,17718,159.189,50,7
59.7553,490.516,85569,23.8766,71,0
31.7418,683.448,100493,32.5605,19,34
0.00564281,683.448,100493,37,0,1
0,683.448,100493,37,0,0
64.4262,523.744,101063,27.6034,48,0
10.7577,548.777,130642,35,7,17
52.2549,737.585,254545,32.904,17,0
6.17817,712.307,253373,42,5,5
34.298,739.209,153048,40.5687,11,0
41.2221,668.427,155273,50.4266,6,17
55.0867,610.816,72814,59,59,24
6.73538,610.816,72814,59,0,20
64.8378,523.263,101757,56.5317,53,0
16.175,559.741,163510,80,16,18
21.8611,594.2,162470,73.7461,18,0
45.3682,440.013,127256,68.3992,29,0
51.6122,564.311,96899,76.2194,52,42
13.6154,680.263,139304,90.0146,7,23
0.0225787,680.263,139304,102,0,1
55.8084,405.313,134664,20.3233,35,0
14.1398,450.907,148377,21,9,10
50.532,701.879,155183,20.8337,14,0
34.4385,696.823,214739,30,18,14
9.78913,696.823,214739,39,0,52
47.5941,666.335,123477,38.1083,7,0
22.4875,521.264,96018,71,11,11
48.3299,567.335,79824,89,27,8
24.0937,567.335,79824,89,0,33
0,567.335,79824,89,0,0
70.0396,423.904,57914,52.9772,47,0
35.1975,583.503,45110,62,29,50
2.75884,677.365,56452,61.8465,5,1
15.9656,616.424,101600,61.3907,9,0
61.745,435.867,46024,58.4485,43,0
36.4006,612.001,97486,74,25,19
4.7208,642.646,101458,95,2,16
38.4475,151.278,10913,137,42,44
42.2032,257.768,16974,169,80,21
29.8803,276.954,42354,264.64,81,82
16.1499,39.569,8086,501.075,82,54
17.1677,42.815,10236,325.43,80,11
25.015,53.075,12676,98.1885,79,3
86.7584,408.314,58927,51.0604,82,7
31.2888,649.822,123743,46.7117,39,48
3.07001,682.3,129834,86.8488,2,16
31.4057,609.99,84415,85.953,8,0
70.9689,373.837,53443,77.6744,79,0
48.4885,704.953,82732,106,60,141
29.3043,265.822,22574,101.071,38,51
45.0191,145.26,11403,208.251,83,10
33.2037,41.54,5993,258,80,9
31.6355,42.607,9081,46.7027,80,5
79.0482,515.362,93505,51.1199,82,9
21.014,692.674,63149,56.8057,19,23
73.7271,364.155,36068,93.6329,83,30
66.5117,593.249,75538,85.4698,81,1
38.1251,735.747,114918,115.647,51,26
8.54722,735.747,114918,148,0,32
24.6682,66.165,12195,141.41,43,2
87.8936,258.49,26915,55.6131,81,9
37.296,647.849,74810,68.1862,50,44
4.37087,711.617,66826,86.548,5,7
15.3222,360.666,24788,109.758,14,3
48.4641,254.057,31422,151.081,81,13
45.3087,193.183,16683,145,82,17
40.2379,96.582,24393,157.978,80,6
26.0106,39.885,11197,412.567,79,13
37.4682,47.085,6608,126.282,83,14
35.1527,41.193,11674,189.226,81,11
39.231,59.209,10134,97,80,15
37.7118,105.607,16074,241.236,82,12
26.7315,37.849,9104,122.055,79,10
51.6509,209.087,19519,151.758,80,17
45.3992,259.84,38996,135.817,82,21
32.5032,493.842,53799,226.423,78,28
22.2998,77.84,10166,399,81,168
24.0245,42.109,11017,84.8556,79,12
54.108,238.921,44050,156.235,80,23
42.8022,285.557,30186,146,81,18
46.8257,342.936,72003,45.8445,81,8
65.0604,609.931,95013,47.6005,69,25
45.8021,366.397,37038,67.0875,42,13
66.5068,646.251,62918,80.9834,73,233
21.6738,744.652,83051,143.745,22,182
37.5507,74.251,6861,197.219,81,19
47.2472,54.125,4594,113.966,81,11
33.2995,43.165,18233,120.027,82,18
52.291,338.541,37811,159.429,81,25
40.3875,478.176,68158,68,79,16
61.4,625.725,80023,83.5789,75,25
16.1837,727.962,196627,105.421,11,28
0.237182,727.962,196627,134,0,30
36.2982,186.478,20470,147,39,4
28.6106,43.641,5609,337.043,81,16
60.4878,200.074,21552,71.3335,80,8
24.6047,669.739,167755,90.3376,81,10
3.31675,319.079,52713,100.767,12,13
0,319.079,52713,100.767,0,0
0,319.079,52713,100.767,0,0
0.265367,223.567,45912,100.362,4,0
0,223.567,45912,100.362,0,0
0,223.567,45912,100.362,0,0
0,223.567,45912,100.362,0,0
0,223.567,45912,100.362,0,0
0,223.567,45912,100.362,0,0
,,,,,
,,,,,
,,,,,
,,,,,
Method,UDT,,,,
MSS,100,,,,
SendRate(Mb/s),RTT(ms),CWnd,PktSndPeriod(us),RecvACK,RecvNAK
0.0188003,51.424,1200,23968.1,20,1
0.033573,32.111,20,9830.7,50,0
0.0653465,33.244,21,5707.04,69,0
0.101972,35.101,948,3925.85,73,0
3.82679,56.454,30045,30.5293,78,0
9.43617,41.044,29693,58,65,25
7.55061,40.524,20022,39.1314,71,8
9.48951,41.015,32261,74,72,28
6.62044,40.118,30565,75,72,7
9.06169,42.384,17374,40.3537,76,5
9.95264,40.208,33455,44,68,15
9.92784,41.491,35481,38.1677,45,2
10.6519,39.26,26070,57,65,15
7.26301,40.25,35196,53.9293,55,2
9.13727,39.99,18646,28.2472,71,4
13.0609,42.362,28832,24.8138,74,13
13.4351,146.17,91365,44.1713,75,23
9.75232,144.767,108896,41.9185,61,12
10.2377,40.651,32475,50.4238,71,4
11.127,46.722,30118,37.3132,75,4
9.92366,39.244,29957,49.9135,74,9
11.5464,46.062,33059,24.9792,80,1
10.4544,40.362,24563,52.517,66,11
10.3015,53.652,42543,54,35,13
8.19546,43.564,21898,61,63,8
6.99967,40.776,26604,65.3018,72,12
12.4597,44.006,27807,47.7147,74,7
9.77658,39.407,26279,56.0416,73,4
13.6929,62.712,23271,23.4924,72,4
13.6622,166.322,103862,43,50,6
7.69741,39.958,21847,65,54,23
8.70114,40.126,42815,49.261,67,9
7.89166,40.671,37374,46.3463,65,11
9.09993,40.761,26485,62.2824,75,27
8.48666,42.048,36508,104.341,63,11
4.88856,42.316,32676,86.6812,67,8
7.39117,48.303,27229,29.2745,48,2
8.09637,43.585,41050,78.1249,24,43
10.2634,40.386,29489,55.5821,79,13
11.3332,43.807,20384,35.2387,73,4
11.4459,43.329,35325,66,51,11
5.00207,46.002,29913,47.749,41,1
8.49315,41.061,21817,72.5375,66,13
7.54865,42.285,25573,39,67,6
8.95966,38.936,36469,60.317,63,10
8.83917,40.116,33497,52.4059,70,8
9.13085,39.348,25787,51.3663,73,4
9.16339,40.395,30695,52.1065,77,4
10.6305,40.172,36980,45.9897,77,14
10.0392,39.114,31712,30.7062,71,6
11.8459,38.818,28780,44.4906,74,7
12.849,36.697,31116,32.7698,81,4
13.5816,40.339,41560,39.7768,69,3
10.5161,43.492,30185,38.3232,74,7
15.3875,42.449,31591,39.9109,73,24
13.2012,41.077,24898,34.5091,75,3
9.65382,38.458,24641,51.8328,71,11
6.58364,40.671,36011,77.7648,68,9
6.50373,41.798,24486,64.6783,78,3
12.3555,47.346,30029,28.6264,76,5
13.0246,56.742,36575,57.8252,66,8
7.92702,54.443,33658,65.9809,29,11
7.29572,65.801,36667,79,72,10
6.36072,51.161,34087,69.8897,65,2
9.62588,95.845,54509,47.6003,62,6
6.79517,71.101,53060,53.7809,31,3
9.40886,46.698,30218,46.2786,70,4
9.5387,45.642,37837,45.6748,71,5
11.6101,46.073,38450,79.0818,62,14
7.89631,50.514,37764,26.4235,71,2
12.2744,46.688,30606,83.4308,59,31
7.33235,49.033,23316,53.7809,67,4
7.60573,53.885,44352,73,53,9
7.48742,49.837,39260,62,69,10
6.75538,47.71,38346,70.3548,72,14
5.59907,43.454,23829,86.6812,69,7
5.69358,49.002,22614,101.793,71,11
5.9824,45.106,28387,53.1912,70,5
14.4016,119.961,84662,46,67,31
7.97747,47.658,37590,82.8862,64,14
6.53608,51.079,37334,37.3598,61,13
13.208,162.616,125013,24,48,5
11.5629,201.899,141268,43,52,13
7.15488,55.481,35793,42.7777,47,2
8.0628,44.162,37283,96,64,18
4.03023,48.581,39580,44.7789,38,7
9.20511,51.049,38495,59,39,9
6.42007,45.451,31439,75.1431,59,6
8.69239,65.331,38841,26.2757,75,0
10.6245,328.696,229663,21,68,6
2.64893,198.248,123642,23.6592,13,1
9.91471,62.233,48559,72,71,19
10.5512,55.913,42354,24,68,11
13.4089,65.013,28083,30.2921,67,8
6.91869,112.992,63083,57.4997,7,12
6.08868,56.883,26726,57.688,54,2
12.1281,176.358,121405,46.3463,62,10
8.67451,81.394,49146,67,53,15
4.89196,51.13,28445,96.5018,58,16
6.74787,56.166,39028,92.9475,60,28
10.8327,52.096,44942,38.8692,75,4
8.82262,60.586,58272,43.4806,60,27
9.77418,54.344,45853,48,48,14
8.0087,61.875,50248,53,48,4
10.3156,56.878,42488,27.327,71,1
11.3365,346.657,185288,19.3537,74,4
14.6445,137.155,81484,22.4633,68,3
8.05557,157.009,123613,47,33,8
7.33266,51.77,36275,65.0842,65,7
7.19429,47.367,26608,48.8997,74,4
8.42742,49.366,31625,55.3387,65,21
8.43583,47.27,42184,64.7897,66,17
6.24712,48.449,44261,108,44,9
5.2533,45.071,24716,60.4466,49,2
7.96783,53.502,43160,36.9469,70,12
11.5117,84.278,57534,66.3331,57,9
6.27225,50.029,41936,110.149,64,15
9.60892,111.107,63850,39.4384,65,2
10.0411,331,222197,27,65,2
10.004,161.129,95535,30.5698,58,2
5.30749,325.271,213298,48,34,4
7.70285,254.513,129649,51.8979,47,2
10.5457,288.359,166362,36,79,11
10.3596,186.474,92318,50,73,12
8.58131,50.987,26367,53.5463,68,4
5.88701,59.73,36453,101,22,17
8.33277,59.548,31145,45.6469,76,3
8.21965,45.493,38755,65.4305,67,40
10.9853,113.867,77768,22.7642,53,12
10.864,151.274,102947,51.2012,47,26
11.8418,145.992,79861,19.8214,79,4
8.90382,260.723,190112,35.8065,55,24
9.6681,63.481,46063,53.3129,58,17
6.14652,108.644,54047,107,32,11
5.22458,46.79,26315,48.288,70,9
11.411,61.295,46346,47.263,66,10
7.07706,49.48,33420,90.4217,64,11
10.2852,58.427,41965,41.1147,68,10
